title,description,image_id
Apple,"Apples are one of the most widely consumed and cultivated fruits globally. They belong to the Rosaceae family and are known for their sweet, crisp taste and nutritional value.",apple_1
Bell Pepper,"Bell peppers, also known as sweet peppers or capsicums, are colorful and versatile vegetables that belong to the nightshade family (Solanaceae). They are native to Central and South America but are now cultivated worldwide. Bell peppers come in various colors, including red, green, yellow, and orange, and each color has its own unique flavor profile.",bell_pepper_1
Blueberry,"Blueberries are small, round, and flavorful berries that belong to the Vaccinium family. They are native to North America but are now cultivated and enjoyed worldwide. Blueberries are not only delicious but also highly nutritious.",blue_berry_1
Cassava,"Cassava, also known as manioc or yuca, is a starchy root vegetable native to South America. It is a major source of carbohydrates for millions of people in tropical and subtropical regions. Cassava is a versatile crop with various culinary and industrial uses.",cassava_1
Cherry,"Cherries are small, round fruits that come from trees belonging to the genus Prunus. There are two main types of cherries: sweet cherries (Prunus avium) and tart or sour cherries (Prunus cerasus).",cherry_1
Coffee,"Coffee is one of the most widely consumed beverages in the world, known for its rich flavor and stimulating effects. It is made from the seeds of coffee berries, commonly referred to as coffee beans.",coffee_1
Corn,"Corn, also known as maize, is a cereal grain that has been a staple food in many cultures for centuries. It belongs to the grass family Poaceae and is one of the most widely grown and versatile crops in the world.",corn_1
Grape,"Grapes are small, round fruits that grow in clusters on woody vines of the genus Vitis. They belong to the Vitaceae family and are cultivated for their sweet or tart taste, as well as for the production of various products such as wine, raisins, and grape juic",grape_1
Orange,"Oranges are round citrus fruits known for their vibrant color, sweet flavor, and high vitamin C content. They belong to the Rutaceae family and the genus Citrus.",orange_1
Peach,"Peaches are delicious and juicy stone fruits that belong to the Rosaceae family and the genus Prunus. They are known for their sweet and aromatic flavor, fuzzy skin, and a large, hard pit at the center.",peach_1
Potato,"Potatoes are a versatile and widely consumed vegetable that comes from the plant Solanum tuberosum. They belong to the Solanaceae family, which also includes tomatoes, peppers, and eggplants. Potatoes are a staple food in many cultures and are known for their carbohydrate content, making them a good source of energy.",potato_1
Raspberry,"Raspberries are small, red, or occasionally black or golden berries that belong to the genus Rubus. They are members of the rose family (Rosaceae) and are known for their sweet, juicy taste and vibrant color.",raspberry_1
Rice,Rice is a staple food that serves as a primary source of sustenance for a large part of the world's population. It is a cereal grain that belongs to the grass family Oryza.,rice_1
Soybean,"Soybeans, scientifically known as Glycine max, are a legume native to East Asia and are widely cultivated for their edible beans.",soybean_1
Squash,"Squash refers to a group of vegetables that belong to the gourd family Cucurbitaceae. There are various types of squash, and they can be broadly categorized into summer squash and winter squash.",squash_1
Strawberry,"Strawberries are small, red, heart-shaped berries that belong to the genus Fragaria. They are known for their sweet and juicy taste, vibrant red color, and high nutritional content.",strawberry_1
Tomato,Tomatoes are a versatile and widely consumed fruit that is commonly treated as a vegetable in culinary applications.,tomato_1
